КУБЫЗ	кубыз+N+Sg+Nom;
Бумы	бу+N+Sg+Nom+INT(мЫ);бу+PN+INT(мЫ);бум+N+Sg+POSS_3(СЫ)+Nom;
магнитофоның	магнитофон+N+Sg+POSS_2SG(Ың)+Nom;
?	Type1
Бикрәк	NR
нечкә	нечкә+Adj;
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Юк	юк+MOD;
,	Type2
бу	бу+PN;
ноутбук	Rus
,	Type2
хәзер	хәзер+Adv;
барысын	бары+PN+POSS_3(СЫ)+ACC(нЫ);
да	да+PART;
компьютерга	компьютер+N+Sg+DIR(ГА);
яздыралар	яз+V+CAUS(ДЫр)+PRES(Й)+3PL(ЛАр);
.	Type1
Менә	мен+V+PRES(Й);менә+PART;
бу	бу+PN;
микрофон	микрофон+N+Sg+Nom;
,	Type2
бу	бу+PN;
тавыш	тавыш+N+Sg+Nom;
картасы	карта+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Ярый	яра+V+PRES(Й);ярый+MOD;
,	Type2
аңлашылды	аңла+V+RECP(Ыш)+PASS(Ыл)+PST_DEF(ДЫ);аңлашыл+V+PST_DEF(ДЫ);
.	Type1
Кинога	кино+N+Sg+DIR(ГА);
төшермисеңме	төшер+V+NEG(мА)+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+INT(мЫ);төшер+V+NEG(мА)+PRES(Й)+2SG(сЫң)+INT(мЫ);
?	Type1
Элек	элек+Adv;элек+POST;
төшерәләр	төшер+V+PRES(Й)+3PL(ЛАр);
иде	и+V+PST_DEF(ДЫ);
.	Type1
Кая	кая+PN;
басыйм	бас+V+HOR_SG(Йм);
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Кая	кая+PN;
телисез	телә+V+PRES(Й)+2PL(сЫз);
шунда	шул+PN+LOC(ДА);
.	Type1
Авыл	авыл+N+Sg+Nom;
тавышлары	тавыш+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
да	да+PART;
керсең	кер+N+Sg+2SG(сЫң);
?	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Төшермисең	төшер+V+NEG(мА)+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;төшер+V+NEG(мА)+PRES(Й)+2SG(сЫң);
,	Type2
димәк	ди+V+INF_2(мАк);
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Юк	юк+MOD;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Ну	ну+INTRJ;
ярый	яра+V+PRES(Й);ярый+MOD;
.	Type1
Авыл	авыл+N+Sg+Nom;
тавышлары	тавыш+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
сиңа	син+PN+DIR(ГА);
нигә	ни+PN+DIR(ГА);нигә+PN;
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Алай	алай+PN;
аутентичныйрак	NR
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Белмим	бел+V+NEG(мА)+HOR_SG(Йм);бел+V+NEG(мА)+PRES(Й)+1SG(м);
,	Type2
нәрсә	нәрсә+PN;
сөйлисең	сөйлә+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;сөйлә+V+PRES(Й)+2SG(сЫң);
.	Type1
әйдә	әйдә+INTRJ;әйдә+V+IMP_SG();
,	Type2
алайса	алайса+MOD;
сыер	сыер+N+Sg+Nom;
абзары	абзар+N+Sg+POSS_3(СЫ)+Nom;
янына	ян+N+Sg+POSS_3(СЫ)+DIR(ГА);ян+V+REFL(Ын)+PRES(Й);янына+POST;
,	Type2
анда	анда+PN;ул+PN+LOC(ДА);
авыл	авыл+N+Sg+Nom;
тавышлары	тавыш+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
байтак	байтак+Adj;
.	Type1
Синең	син+PN+GEN(нЫң);
магнитофоның	магнитофон+N+Sg+POSS_2SG(Ың)+Nom;
исләр	ис+N+PL(ЛАр)+Nom;ислә+V+FUT_INDF(Ыр);ислә+V+PCP_FUT(Ыр);
яздырмыймы	яз+V+CAUS(ДЫр)+NEG(мА)+PRES(Й)+INT(мЫ);яздыр+V+NEG(мА)+PRES(Й)+INT(мЫ);
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Юк	юк+MOD;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Анысы	анысы+PN;
яхшы	яхшы+Adj;яхшы+Adv;
.	Type1
Ярар	яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
,	Type2
нәрсәне	нәрсә+PN+ACC(нЫ);
җырлыйм	җырла+V+HOR_SG(Йм);җырла+V+PRES(Й)+1SG(м);
?	Type1
Күпме	күп+Adj+INT(мЫ);күпме+PN;
минут	минут+N+Sg+Nom;
?	Type1
Бер-ике	бер-ике+Num;
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Галимҗан	галимҗан+PROP+Sg+Nom;
бабай	бабай+N+Sg+Nom;
,	Type2
менә	мен+V+PRES(Й);менә+PART;
күпме	күп+Adj+INT(мЫ);күпме+PN;
җыр	җыр+N+Sg+Nom;
бара	бар+V+PRES(Й);
,	Type2
шулкадәр	шулкадәр+Adv;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Сәер	сәер+Adj;
,	Type2
элек	элек+Adv;элек+POST;
ике	ике+Num;
минут	минут+N+Sg+Nom;
җырлый	җырла+V+PRES(Й);
идем	и+V+PST_DEF(ДЫ)+1SG(м);
,	Type2
аннары	аннары+PN;
шуны	шул+PN+ACC(нЫ);шул+PN+POSS_3(СЫ)+Nom;
телевизорда	телевизор+N+Sg+LOC(ДА);
күрсәткәннәр	күрсәт+V+PCP_PS(ГАн)+PL(ЛАр)+Nom;күрсәт+V+PST_INDF(ГАн)+3PL(ЛАр);
.	Type1
Ну	ну+INTRJ;
ярый	яра+V+PRES(Й);ярый+MOD;
,	Type2
әйдә	әйдә+INTRJ;әйдә+V+IMP_SG();
Error	әзермен;
әзер+Adj+1SG(мЫн);	анда;
анда+PN;ул+PN+LOC(ДА);	?;
Type1	Error
сузыйм	суз+V+HOR_SG(Йм);
берне	бер+Num+ACC(нЫ);бер+PN+ACC(нЫ);
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Фамилиягез	фамилия+N+Sg+POSS_2PL(ЫгЫз)+Nom;
ничек	ничек+PN;
?	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Бу	бу+PN;
нәрсә	нәрсә+PN;
өчен	өчен+POST;
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Тарих	тарих+N+Sg+Nom;
өчен	өчен+POST;
,	Type2
бабай	бабай+N+Sg+Nom;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Алайса	алайса+MOD;
Галимҗанов	NR
.	Type1
Бабаем	бабай+N+Sg+POSS_1SG(Ым)+Nom;
хөрмәтенә	хөрмәт+N+Sg+POSS_3(СЫ)+DIR(ГА);
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Окей	Rus
,	Type2
Галимҗан	галимҗан+PROP+Sg+Nom;
Галимҗанов	NR
,	Type2
Котлы	кот+N+ATTR_MUN(лЫ);
Бүкәш	NR
авылы	авыл+N+Sg+POSS_3(СЫ)+Nom;ау+N+Sg+POSS_3(СЫ)+ATTR_MUN(лЫ);
,	Type2
26	Num
апрель	апрель+N+Sg+Nom;
2020	Num
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Ярыймы	яра+V+PRES(Й)+INT(мЫ);ярый+MOD+INT(мЫ);
?	Type1
(	Type3
җырлый	җырла+V+PRES(Й);
башлый	башла+V+PRES(Й);
)	Type3
.	Type1
Каз	каз+N+Sg+Nom;
канаты	канат+N+Sg+POSS_3(СЫ)+Nom;
кат-кат	кат-кат+Adv;
була	бул+V+PRES(Й);
,	Type2
Ир	ир+N+Sg+Nom;
канаты	канат+N+Sg+POSS_3(СЫ)+Nom;
ат	ат+N+Sg+Nom;ат+V+IMP_SG();
була	бул+V+PRES(Й);
;	Type2
Чит	чит+Adj;чит+N+Sg+Nom;
җирләрдә	җир+N+PL(ЛАр)+LOC(ДА);
бик	бик+Adv;
күп	күп+Adj;
йөрсәң	йөр+V+COND(сА)+2SG(ң);
,	Type2
Сөйгән	сөй+V+PCP_PS(ГАн);сөй+V+PST_INDF(ГАн);сөйгән+Adj;
ярың	яр+N+Sg+POSS_2SG(Ың)+Nom;яры+N+Sg+POSS_2SG(Ың)+Nom;
ят	ят+Adj;ят+V+IMP_SG();
була	бул+V+PRES(Й);
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Галимҗан	галимҗан+PROP+Sg+Nom;
бабай	бабай+N+Sg+Nom;
,	Type2
бу	бу+PN;
бит	бит+N+Sg+Nom;бит+PART;
борыңгы	NR
түгел	түгел+PART;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Ничек	ничек+PN;
инде	инде+PART;
борыңгы	NR
түгел	түгел+PART;
.	Type1
Аны	ул+PN+ACC(нЫ);
хәтта	хәтта+PART;
Первый	Rus
каналда	канал+N+Sg+LOC(ДА);
күрсәтәләр	күрсәт+V+PRES(Й)+3PL(ЛАр);
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Ярар	яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
,	Type2
матур	матур+Adj;
җыр	җыр+N+Sg+Nom;
булсын	бул+V+JUS_SG(сЫн);
.	Type1
Тагын	тагын+Adv;
ниндиләрен	нинди+PN+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);
беләсез	бел+V+PRES(Й)+2PL(сЫз);
?	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Пленкаң	пленка+N+Sg+POSS_2SG(Ың)+Nom;
җитәрме	җит+V+PCP_FUT(Ыр)+INT(мЫ);
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
җитәрлек	җит+V+PCP_FUT(Ыр)+PSBL(лЫк);
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Алайса	алайса+MOD;
менә	мен+V+PRES(Й);менә+PART;
,	Type2
минем	мин+PN+GEN(нЫң);
яратканым	яра+V+CAUS(т)+PCP_PS(ГАн)+POSS_1SG(Ым)+Nom;ярат+V+PCP_PS(ГАн)+POSS_1SG(Ым)+Nom;
.	Type1
Сугыш	сугыш+N+Sg+Nom;сук+V+RECP(Ыш)+IMP_SG();сук+V+VN_2(Ыш)+Nom;
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
.	Type1
Гакыйль	NR
булган	бул+V+PCP_PS(ГАн);бул+V+PST_INDF(ГАн);
татарларны	татар+N+PL(ЛАр)+ACC(нЫ);
ник	ник+PN;
уятмыйсың	уят+V+NEG(мА)+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;уят+V+NEG(мА)+PRES(Й)+2SG(сЫң);
заман	заман+N+Sg+Nom;
?	Type1
Гакыйль	NR
булган	бул+V+PCP_PS(ГАн);бул+V+PST_INDF(ГАн);
татарларны	татар+N+PL(ЛАр)+ACC(нЫ);
ник	ник+PN;
уятмыйсың	уят+V+NEG(мА)+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;уят+V+NEG(мА)+PRES(Й)+2SG(сЫң);
заман	заман+N+Sg+Nom;
?	Type1
Ах	ах+INTRJ;
,	Type2
син	син+PN;
,	Type2
заман	заман+N+Sg+Nom;
,	Type2
заман	заман+N+Sg+Nom;
,	Type2
заман	заман+N+Sg+Nom;
ник	ник+PN;
уятмыйсың	уят+V+NEG(мА)+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;уят+V+NEG(мА)+PRES(Й)+2SG(сЫң);
һаман	һаман+Adv;
?	Type1
Ах	ах+INTRJ;
,	Type2
син	син+PN;
,	Type2
заман	заман+N+Sg+Nom;
,	Type2
заман	заман+N+Sg+Nom;
,	Type2
заман	заман+N+Sg+Nom;
ник	ник+PN;
уятмыйсың	уят+V+NEG(мА)+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;уят+V+NEG(мА)+PRES(Й)+2SG(сЫң);
һаман	һаман+Adv;
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Галимҗан	галимҗан+PROP+Sg+Nom;
бабай	бабай+N+Sg+Nom;
,	Type2
мин	мин+PN;
бу	бу+PN;
җырны	җыр+N+Sg+ACC(нЫ);
беләм	бел+V+PRES(Й)+1SG(м);
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
,	Type2
әлбәттә	әлбәттә+MOD;
,	Type2
иске	иске+Adj;иске+PROP+Sg+Nom;
,	Type2
әмма	әмма+CNJ;
аны	ул+PN+ACC(нЫ);
Айдар	айдар+PROP+Sg+Nom;
Фәйзрахманов	NR
ансамбле	ансамбль+N+Sg+POSS_3(СЫ)+Nom;
да	да+PART;
җырлый	җырла+V+PRES(Й);
бит	бит+N+Sg+Nom;бит+PART;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
ә	ә+PART;
нәрсә	нәрсә+PN;
,	Type2
синең	син+PN+GEN(нЫң);
Айдарың	айдар+PROP+POSS_2SG(Ың)+Nom;
җырлагач	җырла+V+ADVV_ANT(ГАч);
,	Type2
ул	ул+N+Sg+Nom;ул+PN;
халык	халык+N+Sg+Nom;
җыры	җыр+N+Sg+POSS_3(СЫ)+Nom;
түгелмени	түгел+PART+INT_MIR(мЫни);түк+V+PASS(Ыл)+INT_MIR(мЫни);
хәзер	хәзер+Adv;
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Ярый	яра+V+PRES(Й);ярый+MOD;
,	Type2
ярый	яра+V+PRES(Й);ярый+MOD;
,	Type2
миңа	мин+PN+DIR(ГА);
ошый	оша+V+PRES(Й);
.	Type1
Кара	кара+Adj;кара+N+Sg+Nom;кара+V+IMP_SG();
,	Type2
бу	бу+PN;
җырыңны	җыр+N+Sg+POSS_2SG(Ың)+ACC(нЫ);
хәтта	хәтта+PART;
яңартырга	яңар+V+CAUS(т)+INF_1(ЫргА);яңарт+V+INF_1(ЫргА);
була	бул+V+PRES(Й);
(	Type3
җырны	җыр+N+Sg+ACC(нЫ);
сэмплларга	NR
тураклый	туракла+V+PRES(Й);
,	Type2
бит	бит+N+Sg+Nom;бит+PART;
сала	сал+V+PRES(Й);
,	Type2
тыңлыйлар	тыңла+V+PRES(Й)+3PL(ЛАр);
)	Type3
.	Type1
Ничек	ничек+PN;
сезгә	сез+PN+DIR(ГА);
?	Type1
өр-яңа	өр-яңа+Adj;
җыр	җыр+N+Sg+Nom;
кебек	кебек+POST;
!	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Бу	бу+PN;
минем	мин+PN+GEN(нЫң);
җырым	җыр+N+Sg+POSS_1SG(Ым)+Nom;
түгел	түгел+PART;
инде	инде+PART;
.	Type1
Теге	теге+PN;
Айдарның	айдар+PROP+GEN(нЫң);
да	да+PART;
түгел	түгел+PART;
.	Type1
Бу	бу+PN;
синеке	си+N+Sg+ATTR_GEN(нЫкЫ);син+PN+ATTR_GEN(нЫкЫ);
инде	инде+PART;
.	Type1
Син	син+PN;
бит	бит+N+Sg+Nom;бит+PART;
эшләдең	эшлә+V+PST_DEF(ДЫ)+2SG(ң);
.	Type1
Миңа	мин+PN+DIR(ГА);
бик	бик+Adv;
үк	үк+PART;
ошамый	оша+V+NEG(мА)+PRES(Й);
,	Type2
ләкин	ләкин+CNJ;
минем	мин+PN+GEN(нЫң);
үз	үз+PN;
көйләрем	көй+N+PL(ЛАр)+POSS_1SG(Ым)+Nom;
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
Error	«;
Type4	Каз;
каз+N+Sg+Nom;	канаты;
канат+N+Sg+POSS_3(СЫ)+Nom;	»;
Type4	һәм;
һәм+CNJ;	сугыш;
сугыш+N+Sg+Nom;сук+V+RECP(Ыш)+IMP_SG();сук+V+VN_2(Ыш)+Nom;	турында;
тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;	.;
Type1	КЫЗ;
кыз+N+Sg+Nom;кыз+V+IMP_SG();	.;
Type1	Тагын;
тагын+Adv;	үх;
NR	җырларыгыз;
җыр+N+PL(ЛАр)+POSS_2PL(ЫгЫз)+Nom;	бармы;
бар+MOD+INT(мЫ);бар+N+Sg+Nom+INT(мЫ);бар+PN+INT(мЫ);	?;
Type1	БАБАЙ;
бабай+N+Sg+Nom;	.;
Type1	«;
Type4	Туган;
ту+V+PCP_PS(ГАн);ту+V+PST_INDF(ГАн);туган+Adj;	як;
як+N+Sg+Nom;як+V+IMP_SG();	»;
Type4	ны;
NR	җырлый;
җырла+V+PRES(Й);	алам;
ал+V+PRES(Й)+1SG(м);	.;
Type1	КЫЗ;
кыз+N+Sg+Nom;кыз+V+IMP_SG();	.;
Type1	Бу;
бу+PN;	бит;
бит+N+Sg+Nom;бит+PART;	попса;
Rus	!;
Type1	БАБАЙ;
бабай+N+Sg+Nom;	.;
Type1	Явыз;
явыз+Adj;	кеше;
кеше+N+Sg+Nom;	син;
син+PN;	.;
Type1	Сиңа;
син+PN+DIR(ГА);	җырлыйлар;
җырла+V+PRES(Й)+3PL(ЛАр);	,;
Type2	ә;
ә+PART;	син;
син+PN;	мыскыллыйсын;
NR	.;
Type1	Бу;
бу+PN;	минем;
мин+PN+GEN(нЫң);	җырлар;
җыр+N+PL(ЛАр)+Nom;җырла+V+FUT_INDF(Ыр);җырла+V+PCP_FUT(Ыр);	.;
Type1	«;
Type4	Каз;
каз+N+Sg+Nom;	канатын;
кана+V+CAUS(т)+REFL(Ын)+IMP_SG();канат+N+Sg+POSS_3(СЫ)+ACC(нЫ);канат+V+REFL(Ын)+IMP_SG();	»;
Type4	икенче;
ике+Num+NUM_ORD(ЫнчЫ);	хатын;
хат+N+Sg+POSS_3(СЫ)+ACC(нЫ);хатын+N+Sg+Nom;	ярата;
яра+V+CAUS(т)+PRES(Й);ярат+V+PRES(Й);	иде;
и+V+PST_DEF(ДЫ);	,;
Type2	яшь;
яшь+Adj;яшь+N+Sg+Nom;	иде;
и+V+PST_DEF(ДЫ);	ул;
ул+N+Sg+Nom;ул+PN;	,;
Type2	яшьли;
яшьли+Adv;	китте;
кит+V+PST_DEF(ДЫ);	.;
Type1	Сугыш;
сугыш+N+Sg+Nom;сук+V+RECP(Ыш)+IMP_SG();сук+V+VN_2(Ыш)+Nom;	турында;
тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;	көйне;
көй+N+Sg+ACC(нЫ);	телевизордан;
телевизор+N+Sg+ABL(ДАн);	күрдем;
күр+V+PST_DEF(ДЫ)+1SG(м);	,;
Type2	бердәнбер;
бердәнбер+N+Sg+Nom;	дустым;
дуст+N+Sg+POSS_1SG(Ым)+Nom;	булды;
бул+V+PST_DEF(ДЫ);	шул;
шул+PART;шул+PN;	телевизор;
телевизор+N+Sg+Nom;	!;
«	Type4
Туган	ту+V+PCP_PS(ГАн);ту+V+PST_INDF(ГАн);туган+Adj;
як	як+N+Sg+Nom;як+V+IMP_SG();
»	Type4
ны	NR
оныгым	онык+N+Sg+POSS_1SG(Ым)+Nom;
тыңлата	тыңла+V+CAUS(т)+PRES(Й);тыңлат+V+PRES(Й);
иде	и+V+PST_DEF(ДЫ);
,	Type2
авылга	авыл+N+Sg+DIR(ГА);
кайтканда	кайт+V+PCP_PS(ГАн)+LOC(ДА);
,	Type2
хәзер	хәзер+Adv;
кайтмый	кайт+V+NEG(мА)+PRES(Й);
инде	инде+PART;
.	Type1
Ошамаса	оша+V+NEG(мА)+COND(сА);
,	Type2
әнә	әнә+PN;
чык	чык+N+Sg+Nom;чык+V+IMP_SG();
та	та+PART;
,	Type2
башка	баш+N+Sg+DIR(ГА);башка+Adj;башка+POST;
кешеләрне	кеше+N+PL(ЛАр)+ACC(нЫ);
аптырат	аптыра+V+CAUS(т)+IMP_SG();аптырат+V+IMP_SG();
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Ярар	яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
,	Type2
ярар	яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
,	Type2
Галимҗан	галимҗан+PROP+Sg+Nom;
абый	абый+N+Sg+Nom;
.	Type1
җитәр	җит+V+PCP_FUT(Ыр);
.	Type1
Мин	мин+PN;
аңлыйм	аңла+V+HOR_SG(Йм);аңла+V+PRES(Й)+1SG(м);
.	Type1
Ләкин	ләкин+CNJ;
бу	бу+PN;
сәхнә	сәхнә+N+Sg+Nom;
җырлары	җыр+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
бит	бит+N+Sg+Nom;бит+PART;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
ә	ә+PART;
бу	бу+PN;
нәрсә	нәрсә+PN;
–	Type2
сәхнә	сәхнә+N+Sg+Nom;
мени	NR
?	Type1
Яхшы	яхшы+Adj;яхшы+Adv;
,	Type2
мин	мин+PN;
сиңа	син+PN+DIR(ГА);
бик	бик+Adv;
борыңгы	NR
җырны	җыр+N+Sg+ACC(нЫ);
җырлый	җырла+V+PRES(Й);
алайса	алайса+MOD;
.	Type1
әни	әни+N+Sg+Nom;
җырлады	җырла+V+PST_DEF(ДЫ);
,	Type2
аңа	ул+PN+DIR(ГА);
әнисе	әни+N+Sg+POSS_3(СЫ)+Nom;
,	Type2
шулай	шулай+PN;
итеп…	Error
Ничек	ничек+PN;
әле	әле+CNJ;әле+PART;
ул	ул+N+Sg+Nom;ул+PN;
.	Type1
әйе	әйе+MOD;
,	Type2
бишек	бишек+N+Sg+Nom;
җыры	җыр+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
БИШЕК	бишек+N+Sg+Nom;
җЫРЫ	җыр+N+Sg+POSS_3(СЫ)+Nom;
(	Type3
Туктый	тукта+V+PRES(Й);
)	Type3
.	Type1
Бетте	бет+V+PST_DEF(ДЫ);
.	Type1
Кебек	кебек+POST;
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Ничек	ничек+PN;
инде	инде+PART;
ул	ул+N+Sg+Nom;ул+PN;
–	Type2
кебек	кебек+POST;
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
.	Type1
Бу	бу+PN;
