Татарчага	татарча+N+Sg+DIR(ГА);
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
хәбәр	хәбәр+N+Sg+Nom;
җиткер	җиткер+V+IMP_SG();
:	Type2
bez@giylem	Error
.	Type1
pro	Latin
«	Type4
һарри	һарри+N+Sg+Nom;
Поттер	Rus
һәм	һәм+CNJ;
ләгънәтле	ләгънәт+N+ATTR_MUN(лЫ);
бала	бала+N+Sg+Nom;
»	Type4
спектакленең	спектакль+N+Sg+POSS_3(СЫ)+GEN(нЫң);
рәсми	рәсми+Adj;
сценарий	сценарий+N+Sg+Nom;
тексты	текст+N+Sg+POSS_3(СЫ)+Nom;
(	Type3
пьесасы	пьеса+N+Sg+POSS_3(СЫ)+Nom;
)	Type3
2016	Num
елда	ел+N+Sg+LOC(ДА);
potter	Latin
.	Type1
tatar	Latin
проекты	проект+N+Sg+POSS_3(СЫ)+Nom;
кысаларында	кыса+N+PL(ЛАр)+POSS_3(СЫ)+LOC(ДА);
Айдар	айдар+PROP+Sg+Nom;
Шәйхин	шәйхин+N+Sg+Nom;
тарафыннан	тараф+N+Sg+POSS_3(СЫ)+ABL(ДАн);тарафыннан+POST;
тәрҗемә	тәрҗемә+N+Sg+Nom;
ителде	и+V+CAUS(т)+PASS(Ыл)+PST_DEF(ДЫ);ит+V+PASS(Ыл)+PST_DEF(ДЫ);ител+V+PST_DEF(ДЫ);
.	Type1
Тышлыкны	тыш+N+NMLZ(лЫк)+Sg+ACC(нЫ);тыш+N+PSBL(лЫк)+ACC(нЫ);
Илнур	илнур+N+Sg+Nom;
Зәйдуллин	зәйдуллин+N+Sg+Nom;
ясады	яса+V+PST_DEF(ДЫ);
.	Type1
әлеге	әлеге+Adj;
тәрҗемә	тәрҗемә+N+Sg+Nom;
тексты	текст+N+Sg+POSS_3(СЫ)+Nom;
табыш	табыш+N+Sg+Nom;тап+V+RECP(Ыш)+IMP_SG();тап+V+VN_2(Ыш)+Nom;
алу	ал+V+VN_1(у/ү/в)+Nom;
максатында	максат+N+Sg+POSS_3(СЫ)+LOC(ДА);
кулланыла	куллан+V+PASS(Ыл)+PRES(Й);кулланыл+V+PRES(Й);
алмый	ал+V+NEG(мА)+PRES(Й);
.	Type1
potter	Latin
.	Type1
tatar	Latin
|	Sign
giylem	Latin
.	Type1
tatar	Latin
|	Sign
vk	Latin
.	Type1
com	Latin
/	Sign
potter	Latin
.	Type1
tatar	Latin
|	Sign
vk	Latin
.	Type1
com	Latin
/	Sign
gylem	Latin
2	Num
һАРРИ	һарри+N+Sg+Nom;
ПОТТЕР	Rus
һәм	һәм+CNJ;
ЛәГЪНәТЛЕ	ләгънәт+N+ATTR_MUN(лЫ);
БАЛА	бала+N+Sg+Nom;
Беренче	бер+Num+NUM_ORD(ЫнчЫ);
һәм	һәм+CNJ;
икенче	ике+Num+NUM_ORD(ЫнчЫ);
кисәкләр	кисәк+N+PL(ЛАр)+Nom;кисәклә+V+FUT_INDF(Ыр);кисәклә+V+PCP_FUT(Ыр);
3	Num
ДЖОАНН	джоанн+N+Sg+Nom;
К	Rus
.	Type1
РОУЛИНГ	роулинг+N+Sg+Nom;
,	Type2
Джон	Rus
Тиффани	тиффани+N+Sg+Nom;
һәм	һәм+CNJ;
Джек	Rus
Торнның	торнн+N+Sg+POSS_2SG(Ың)+Nom;торн+N+Sg+GEN(нЫң);
яңа	яңа+Adj;
әсәре	әсәр+N+Sg+POSS_3(СЫ)+Nom;
нигезендә	нигез+N+Sg+POSS_3(СЫ)+LOC(ДА);
Джек	Rus
Торн	Rus
пьесасы	пьеса+N+Sg+POSS_3(СЫ)+Nom;
Беренче	бер+Num+NUM_ORD(ЫнчЫ);
тапкыр	тапкыр+Adj;тапкыр+N+Sg+Nom;
Sonia	Latin
friedman	Latin
productions	Latin
,	Type2
colin	Latin
callender	Latin
һәМ	һәм+CNJ;
harry	Latin
potter	Latin
theatrical	Latin
prodictions	Latin
тарафыннан	тараф+N+Sg+POSS_3(СЫ)+ABL(ДАн);тарафыннан+POST;
КУЕЛДЫ	куй+V+PASS(Ыл)+PST_DEF(ДЫ);
West	Latin
end	Latin
production	Latin
рәсми	рәсми+Adj;
кулъязмасы	кулъязма+N+Sg+POSS_3(СЫ)+Nom;
Махсус	махсус+Adj;
репетиция	репетиция+N+Sg+Nom;
басмасы	басма+N+Sg+POSS_3(СЫ)+Nom;
4	Num
Дж	дж+N+Sg+Nom;
.	Type1
К	Rus
.	Type1
Роулингтан	роулинг+N+Sg+ABL(ДАн);
Тылсым	тылсым+N+Sg+Nom;
дөньясының	дөнья+N+Sg+POSS_3(СЫ)+GEN(нЫң);
электрон	электрон+N+Sg+Nom;
үзәге	үзәк+N+Sg+POSS_3(СЫ)+Nom;
5	Num
Минем	мин+PN+GEN(нЫң);
дөньяма	дөнья+N+Sg+POSS_1SG(Ым)+DIR(ГА);
кунак	кунак+N+Sg+Nom;
булып	бул+V+ADVV_ACC(Ып);
кереп	кер+V+ADVV_ACC(Ып);
,	Type2
анда	анда+PN;ул+PN+LOC(ДА);
бик	бик+Adv;
матур	матур+Adj;
эз	эз+N+Sg+Nom;
калдырырга	кал+V+CAUS(ДЫр)+INF_1(ЫргА);калдыр+V+INF_1(ЫргА);
өлгергән	өлгер+V+PCP_PS(ГАн);өлгер+V+PST_INDF(ГАн);өлгергән+Adj;
Джек	Rus
Торнга	торн+N+Sg+DIR(ГА);
—	Type2
Дж	дж+N+Sg+Nom;
.	Type1
К	Rus
.	Type1
Роулинг	роулинг+N+Sg+Nom;
Джо	Rus
,	Type2
Луи	Rus
,	Type2
Макс	Rus
,	Type2
Сонни	сонни+N+Sg+Nom;
һәм	һәм+CNJ;
Мерлга…	Error
барыгыз	бар+N+Sg+POSS_2PL(ЫгЫз)+Nom;бар+PN+POSS_2PL(ЫгЫз)+Nom;бар+V+IMP_PL(ЫгЫз);бары+PN+POSS_2PL(ЫгЫз)+Nom;барыгыз+N+Sg+Nom;
да	да+PART;
тылсымчы…	Error
—	Type2
Джон	Rus
Тиффани	тиффани+N+Sg+Nom;
2016	Num
елның	ел+N+Sg+GEN(нЫң);
7	Num
апрелендә	апрель+N+Sg+POSS_3(СЫ)+LOC(ДА);
дөньяга	дөнья+N+Sg+DIR(ГА);
килгән	кил+V+PCP_PS(ГАн);кил+V+PST_INDF(ГАн);
Эллиот	эллиот+N+Sg+Nom;
Торнга	торн+N+Sg+DIR(ГА);
.	Type1
Без	без+N+Sg+Nom;без+PN;
репетициядә	репетиция+N+Sg+LOC(ДА);
булганда	бул+V+PCP_PS(ГАн)+LOC(ДА);
,	Type2
ул	ул+N+Sg+Nom;ул+PN;
гел	гел+Adv;
көлә	көл+V+PRES(Й);
иде	и+V+PST_DEF(ДЫ);
.	Type1
—	Type2
Джек	Rus
Торн	Rus
6	Num
ЭЧТәЛЕК	эчтәлек+N+Sg+Nom;
БЕРЕНЧЕ	бер+Num+NUM_ORD(ЫнчЫ);
КИСәК	кисәк+N+Sg+Nom;
Беренче	бер+Num+NUM_ORD(ЫнчЫ);
пәрдә	пәрдә+N+Sg+Nom;
Икенче	ике+Num+NUM_ORD(ЫнчЫ);
пәрдә	пәрдә+N+Sg+Nom;
ИКЕНЧЕ	ике+Num+NUM_ORD(ЫнчЫ);
КИСәК	кисәк+N+Sg+Nom;
өченче	өч+Num+NUM_ORD(ЫнчЫ);
пәрдә	пәрдә+N+Sg+Nom;
Дүртенче	дүрт+Num+NUM_ORD(ЫнчЫ);
пәрдә	пәрдә+N+Sg+Nom;
7	Num
һАРРИ	һарри+N+Sg+Nom;
ПОТТЕР	Rus
һәм	һәм+CNJ;
ЛәГЪНәТЛЕ	ләгънәт+N+ATTR_MUN(лЫ);
БАЛА	бала+N+Sg+Nom;
Беренче	бер+Num+NUM_ORD(ЫнчЫ);
кисәк	кисәк+N+Sg+Nom;
8	Num
БЕРЕНЧЕ	бер+Num+NUM_ORD(ЫнчЫ);
ПәРДә	пәрдә+N+Sg+Nom;
,	Type2
БЕРЕНЧЕ	бер+Num+NUM_ORD(ЫнчЫ);
КүРЕНЕШ	күр+V+REFL(Ын)+RECP(Ыш)+IMP_SG();күр+V+REFL(Ын)+VN_2(Ыш)+Nom;күрен+V+RECP(Ыш)+IMP_SG();күрен+V+VN_2(Ыш)+Nom;күренеш+N+Sg+Nom;
КИНГС-КРОСС	кингс-кросс+N+Sg+Nom;
Кеше	кеше+N+Sg+Nom;
белән	белән+POST;
тулы	тулы+Adj;
станция	станция+N+Sg+Nom;
.	Type1
һәркемнең	һәркем+PN+GEN(нЫң);
каядыр	каядыр+PN;
барасы	бар+V+OBL(ЙсЫ);
,	Type2
каядыр	каядыр+PN;
китәсе	ки+V+CAUS(т)+OBL(ЙсЫ);кит+V+OBL(ЙсЫ);
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
.	Type1
Шау-шу	шау-шу+N+Sg+Nom;
һәм	һәм+CNJ;
этеш-төртеш	этеш-төртеш+N+Sg+Nom;
арасында	ара+N+Sg+POSS_3(СЫ)+LOC(ДА);арасында+POST;
чемоданнар	чемодан+N+PL(ЛАр)+Nom;
белән	белән+POST;
тулы	тулы+Adj;
ике	ике+Num;
йөк	йөк+N+Sg+Nom;
арбасы	арба+N+Sg+POSS_3(СЫ)+Nom;
өстендә	өс+N+Sg+POSS_3(СЫ)+LOC(ДА);өстен+Adj+Sg+LOC(ДА);өстендә+POST;
шакылдап	шакылда+V+ADVV_ACC(Ып);
торган	тор+V+PCP_PS(ГАн);тор+V+PST_INDF(ГАн);
ике	ике+Num;
зур	зур+Adj;
читлек	чит+Adj+NMLZ(лЫк)+Sg+Nom;чит+Adj+PSBL(лЫк);чит+N+NMLZ(лЫк)+Sg+Nom;чит+N+PSBL(лЫк);читлек+N+Sg+Nom;
күренә	күр+V+REFL(Ын)+PRES(Й);күрен+V+PRES(Й);
.	Type1
Арбаларны	арба+N+PL(ЛАр)+ACC(нЫ);
ике	ике+Num;
малай	малай+N+Sg+Nom;
,	Type2
ДЖЕЙМС	Rus
ПОТТЕР	Rus
һәм	һәм+CNJ;
АЛЬБУС	альбус+N+Sg+Nom;
ПОТТЕР	Rus
этә	эт+V+PRES(Й);
,	Type2
әниләре	әни+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
ДЖИННИ	джинни+N+Sg+Nom;
артларыннан	арт+Adj+PL(ЛАр)+POSS_3(СЫ)+ABL(ДАн);
бара	бар+V+PRES(Й);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
,	Type2
утыз	утыз+Num;
җиде	җиде+Num;
яшьлек	яшь+Adj+NMLZ(лЫк)+Sg+Nom;яшь+Adj+PSBL(лЫк);яшь+N+NMLZ(лЫк)+Sg+Nom;яшь+N+PSBL(лЫк);
ир-ат	ир-ат+N+Sg+Nom;
,	Type2
кызы	кыз+N+Sg+POSS_3(СЫ)+Nom;
ЛИЛИЯне	лилия+PROP+ACC(нЫ);
җилкәсенә	җилкә+N+Sg+POSS_3(СЫ)+DIR(ГА);
утырткан	утыр+V+CAUS(т)+PCP_PS(ГАн);утыр+V+CAUS(т)+PST_INDF(ГАн);
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
әти	әти+N+Sg+Nom;
,	Type2
ул	ул+N+Sg+Nom;ул+PN;
һаман	һаман+Adv;
шул	шул+PART;шул+PN;
сүзен	сүз+N+Sg+POSS_3(СЫ)+ACC(нЫ);
сөйли	сөйлә+V+PRES(Й);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Джеймс	Rus
,	Type2
җитәр	җит+V+PCP_FUT(Ыр);
инде	инде+PART;
сиңа	син+PN+DIR(ГА);
.	Type1
ДЖЕЙМС	Rus
:	Type2
Мин	мин+PN;
Слизеринга	слизерин+N+Sg+DIR(ГА);
эләгә	эләк+V+PRES(Й);
аласың	ал+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;ал+V+PRES(Й)+2SG(сЫң);ала+Adj+2SG(сЫң);
гына	гына+PART;
дим	ди+V+PRES(Й)+1SG(м);дим+PROP+Sg+Nom;
бит	бит+N+Sg+Nom;бит+PART;
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
чыннан	чын+Adj+Sg+ABL(ДАн);
да…	Error
(	Type3
әтисенең	әти+N+Sg+POSS_3(СЫ)+GEN(нЫң);
усал	усал+Adj;
карашын	кара+V+RECP(Ыш)+REFL(Ын)+IMP_SG();караш+N+Sg+POSS_3(СЫ)+ACC(нЫ);
күреп	күр+V+ADVV_ACC(Ып);
)	Type3
.	Type1
Ярар	яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
,	Type2
ярар	яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
(	Type3
әнисенә	әни+N+Sg+POSS_3(СЫ)+DIR(ГА);әнис+N+Sg+POSS_3(СЫ)+DIR(ГА);
карап	кара+V+ADVV_ACC(Ып);
)	Type3
:	Type2
Син	син+PN;
миңа	мин+PN+DIR(ГА);
хатлар	хат+N+PL(ЛАр)+Nom;
язачаксың	яз+V+FUT_DEF(АчАк)+2SG(сЫң);яз+V+PCP_FUT(АчАк)+2SG(сЫң);
бит	бит+N+Sg+Nom;бит+PART;
,	Type2
әйеме	әйе+MOD+INT(мЫ);
?	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Теләсәң	телә+V+COND(сА)+2SG(ң);
,	Type2
һәр	һәр+PN;
көнне	көн+N+Sg+ACC(нЫ);
язармын	яз+V+PCP_FUT(Ыр)+1SG(мЫн);
,	Type2
улым	ул+N+Sg+POSS_1SG(Ым)+Nom;ул+PN+POSS_1SG(Ым)+Nom;
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Юк	юк+MOD;
,	Type2
һәр	һәр+PN;
көнне	көн+N+Sg+ACC(нЫ);
кирәкми	кирәк+V+NEG(мА)+PRES(Й);
.	Type1
Джеймс	Rus
әйтә	әйт+V+PRES(Й);
,	Type2
күпләр	күп+Adj+PL(ЛАр)+Nom;күпләр+N+Sg+Nom;
өйдән	өй+N+Sg+ABL(ДАн);
айга	ай+N+Sg+DIR(ГА);
бер	бер+Num;бер+PN;
генә	генә+PART;
хат	хат+N+Sg+Nom;
ала	ал+V+PRES(Й);ала+Adj;
,	Type2
ди	ди+V+PRES(Й);
.	Type1
Минем	мин+PN+GEN(нЫң);
иркә	иркә+Adj;
бала	бала+N+Sg+Nom;
дип	ди+V+ADVV_ACC(Ып);
саналасым	сана+V+PASS(Ыл)+OBL(ЙсЫ)+POSS_1SG(Ым)+Nom;санал+V+OBL(ЙсЫ)+POSS_1SG(Ым)+Nom;
килми…	Error
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Без	без+N+Sg+Nom;без+PN;
былтыр	былтыр+Adv;
абыеңа	абыеңа+N+Sg+Nom;
атнасына	атна+N+Sg+POSS_3(СЫ)+DIR(ГА);
өчәр	өч+Num+NUM_DISR(шАр);
тапкыр	тапкыр+Adj;тапкыр+N+Sg+Nom;
хат	хат+N+Sg+Nom;
салдык	сал+V+PST_DEF(ДЫ)+1PL(к);
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Нәрсә	нәрсә+PN;
?	Type1
Джеймс	Rus
!	Type1
АЛЬБУС	альбус+N+Sg+Nom;
ДЖЕЙМСка	джеймс+N+Sg+DIR(ГА);
гаепләүче	гаеплә+V+VN_1(у/ү/в)+PCP_PR(чЫ);гаеплә+V+VN_1(у/ү/в)+PROF(чЫ)+Sg+Nom;
караш	кара+V+RECP(Ыш)+IMP_SG();кара+V+VN_2(Ыш)+Nom;караш+N+Sg+Nom;
ташлый	ташла+V+PRES(Й);
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
әйе	әйе+MOD;
,	Type2
әтиең	әти+N+Sg+POSS_2SG(Ың)+Nom;
дөрес	дөрес+Adj;дөрес+Adv;
әйтә	әйт+V+PRES(Й);
.	Type1
Шулай	шулай+PN;
булгач	бул+V+ADVV_ANT(ГАч);
,	Type2
абыеңның	абый+N+Sg+POSS_2SG(Ың)+GEN(нЫң);
һогвартс	һогвартс+N+Sg+Nom;
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
сөйләгән	сөйлә+V+PCP_PS(ГАн);сөйлә+V+PST_INDF(ГАн);
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
сүзенә	сүз+N+Sg+POSS_3(СЫ)+DIR(ГА);
дә	дә+PART;
ышанмаска	ышан+V+NEG(мА)+INF_1(скА);ышан+V+PCP_FUT(мАс)+DIR(ГА);
кирәк	кирәк+MOD;
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
бит	бит+N+Sg+Nom;бит+PART;
гел	гел+Adv;
шаяртырга	шаяр+V+CAUS(т)+INF_1(ЫргА);
ярата	яра+V+CAUS(т)+PRES(Й);ярат+V+PRES(Й);
.	Type1
ДЖЕЙМС	Rus
(	Type3
көлемсерәп	көлемсерә+V+ADVV_ACC(Ып);
)	Type3
:	Type2
Хәзер	хәзер+Adv;
кузгалсак	кузгал+V+COND(сА)+1PL(к);
буламы	бул+V+PRES(Й)+INT(мЫ);
инде	инде+PART;
,	Type2
зинһар	зинһар+MOD;
?	Type1
АЛЬБУС	альбус+N+Sg+Nom;
башта	баш+N+Sg+LOC(ДА);
әтисенә	әти+N+Sg+POSS_3(СЫ)+DIR(ГА);
,	Type2
аннары	аннары+PN;
әнисенә	әни+N+Sg+POSS_3(СЫ)+DIR(ГА);әнис+N+Sg+POSS_3(СЫ)+DIR(ГА);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Сезгә	сез+PN+DIR(ГА);
тугызынчы	тугыз+Num+NUM_ORD(ЫнчЫ);
һәм	һәм+CNJ;
унынчы	ун+Num+NUM_ORD(ЫнчЫ);
платформалар	платформа+N+PL(ЛАр)+Nom;
арасындагы	ара+N+Sg+POSS_3(СЫ)+ATTR_LOC(ДАгЫ);
дивар	дивар+N+Sg+Nom;
аша	аш+V+PRES(Й);аша+POST;аша+V+IMP_SG();
гына	гына+PART;
чыгарга	чык+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
.	Type1
ЛИЛИЯ	лилия+PROP+Sg+Nom;
:	Type2
Бу	бу+PN;
искиткеч	искиткеч+Adv;
!	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Туктап	тукта+V+ADVV_ACC(Ып);
калмагыз	кал+V+NEG(мА)+IMP_PL(ЫгЫз);
һәм	һәм+CNJ;
,	Type2
бәреләм	бәр+V+PASS(Ыл)+PRES(Й)+1SG(м);бәрел+V+PRES(Й)+1SG(м);
дип	ди+V+ADVV_ACC(Ып);
,	Type2
курка	курк+V+PRES(Й);
күрмәгез	күр+V+NEG(мА)+IMP_PL(ЫгЫз);
Error	бу;
бу+PN;	бик;
бик+Adv;	мөһим;
мөһим+Adj+Sg;	!;
Type1	әгәр;
әгәр+CNJ;	борчылсагыз;
борчы+V+PASS(Ыл)+COND(сА)+2PL(гЫз);борчыл+V+COND(сА)+2PL(гЫз);	,;
Type2	иң;
иң+N+Sg+Nom;иң+PART;иң+V+IMP_SG();	яхшысы;
яхшы+Adj+Sg+POSS_3(СЫ)+Nom;	–;
Type2	йөгерергә;
йөгер+V+INF_1(ЫргА);	.;
Type1	АЛЬБУС;
NR	:;
Type2	Мин;
мин+PN;	әзер;
әзер+Adj;	.;
Type1	9;
Num	һАРРИ;
NR	белән;
белән+POST;	ЛИЛИЯ;
лилия+PROP+Sg+Nom;	кулларын;
кул+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);	АЛЬБУСның;
NR	арбасына;
арба+N+Sg+POSS_3(СЫ)+DIR(ГА);	куялар;
куй+V+PRES(Й)+3PL(ЛАр);	–;
Type2	ДЖИННИ;
NR	ДЖЕЙМСның;
NR	арбасын;
арба+N+Sg+POSS_3(СЫ)+ACC(нЫ);	тота;
тот+V+PRES(Й);	–;
Type2	бергәләп;
бергәләп+Adv;	,;
Type2	бу;
бу+PN;	гаилә;
гаилә+N+Sg+Nom;	диварга;
дивар+N+Sg+DIR(ГА);	таба;
таба+N+Sg+Nom;таба+POST;тап+V+PRES(Й);	йөгерә;
йөгер+V+PRES(Й);	.;
Type1	БЕРЕНЧЕ;
бер+Num+NUM_ORD(ЫнчЫ);	ПәРДә;
пәрдә+N+Sg+Nom;	,;
Type2	ИКЕНЧЕ;
ике+Num+NUM_ORD(ЫнчЫ);	КүРЕНЕШ;
күр+V+REFL(Ын)+RECP(Ыш)+IMP_SG();күр+V+REFL(Ын)+VN_2(Ыш)+Nom;күрен+V+RECP(Ыш)+IMP_SG();күрен+V+VN_2(Ыш)+Nom;күренеш+N+Sg+Nom;	ТУГЫЗ;
тугыз+Num;	һәМ;
һәм+CNJ;	ДүРТТәН;
дүрт+Num+ABL(ДАн);	өЧ;
өч+Num;	ПЛАТФОРМАСЫ;
платформа+N+Sg+POSS_3(СЫ)+Nom;	Платформаны;
платформа+N+Sg+ACC(нЫ);	һОГВАРТС-ЭКСПРЕССтан;
NR	таралган;
тара+V+PASS(Ыл)+PCP_PS(ГАн);тара+V+PASS(Ыл)+PST_INDF(ГАн);тарал+V+PCP_PS(ГАн);тарал+V+PST_INDF(ГАн);	тыгыз;
тыгыз+Adj;	ак;
ак+Adj;ак+V+IMP_SG();	пар;
пар+N+Sg+Nom;	каплаган;
капла+V+PCP_PS(ГАн);капла+V+PST_INDF(ГАн);	.;
Бу	бу+PN;
платформада	платформа+N+Sg+LOC(ДА);
да	да+PART;
ыгы-зыгы	ыгы-зыгы+N+Sg+Nom;
,	Type2
ләкин	ләкин+CNJ;
кырыс	кырыс+Adj;
эш	эш+N+Sg+Nom;
костюмнарын	костюм+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);
киеп	ки+V+ADVV_ACC(Ып);
,	Type2
гадәти	гадәти+Adj;
мәшәкатьләре	мәшәкать+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
артыннан	арт+Adj+Sg+POSS_3(СЫ)+ABL(ДАн);артыннан+POST;
чапкан	чап+V+PCP_PS(ГАн);чап+V+PST_INDF(ГАн);
халык	халык+N+Sg+Nom;
урынына	урын+N+POSS_3(СЫ)+DIR(ГА);урынына+POST;
монда	бу+PN+LOC(ДА);монда+Adv;
мантияле	мантия+N+ATTR_MUN(лЫ);
тылсымчылар	тылсым+N+PROF(чЫ)+PL(ЛАр)+Nom;
җыелган	җыел+V+PCP_PS(ГАн);җыел+V+PST_INDF(ГАн);җый+V+PASS(Ыл)+PCP_PS(ГАн);җый+V+PASS(Ыл)+PST_INDF(ГАн);
.	Type1
Алар	алар+PN;
кадерле	кадер+N+ATTR_MUN(лЫ);
балаларын	бала+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);
озату	озат+V+VN_1(у/ү/в)+Nom;
белән	белән+POST;
мәшгуль	мәшгуль+Adj;
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Менә	мен+V+PRES(Й);менә+PART;
килеп	кил+V+ADVV_ACC(Ып);
тә	тә+PART;
җиттек	җит+V+PST_DEF(ДЫ)+1PL(к);
.	Type1
ЛИЛИЯ	лилия+PROP+Sg+Nom;
:	Type2
Вау	вау+INTRJ;
!	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Тугыз	тугыз+Num;
һәм	һәм+CNJ;
дүрттән	дүрт+Num+ABL(ДАн);
өч	өч+Num;
платформасы	платформа+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
ЛИЛИЯ	лилия+PROP+Sg+Nom;
:	Type2
Кайда	кай+PN+LOC(ДА);кайда+PN;
алар	алар+PN;
?	Type1
Алар	алар+PN;
мондамы	бу+PN+LOC(ДА)+INT(мЫ);монда+Adv+INT(мЫ);
?	Type1
әллә	әллә+CNJ;әллә+PART;
килмәделәр	кил+V+NEG(мА)+PST_DEF(ДЫ)+3PL(ЛАр);
микән	микән+PART;
?	Type1
һАРРИ	һарри+N+Sg+Nom;
РОН	Rus
,	Type2
һЕРМИОНА	һермиона+N+Sg+Nom;
һәм	һәм+CNJ;
аларның	алар+PN+GEN(нЫң);
кызлары	кыз+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
РОЗАНЫ	роза+N+Sg+ACC(нЫ);
күреп	күр+V+ADVV_ACC(Ып);
ала	ал+V+PRES(Й);ала+Adj;
.	Type1
ЛИЛИЯ	лилия+PROP+Sg+Nom;
аларның	алар+PN+GEN(нЫң);
каршысына	каршы+Adj+Sg+POSS_3(СЫ)+DIR(ГА);
йөгерә	йөгер+V+PRES(Й);
.	Type1
Рон	Rus
абый	абый+N+Sg+Nom;
!	Type1
Рон	Rus
абый	абый+N+Sg+Nom;
!	Type1
РОН	Rus
борыла	бор+V+PASS(Ыл)+PRES(Й);борыл+V+PRES(Й);
һәм	һәм+CNJ;
тәгәрмәч	тәгәрмәч+N+Sg+Nom;
булып	бул+V+ADVV_ACC(Ып);
йөгереп	йөгер+V+ADVV_ACC(Ып);
килгән	кил+V+PCP_PS(ГАн);кил+V+PST_INDF(ГАн);
ЛИЛИЯне	лилия+PROP+ACC(нЫ);
күтәреп	күтәр+V+ADVV_ACC(Ып);
ала	ал+V+PRES(Й);ала+Adj;
.	Type1
РОН	Rus
:	Type2
Бу	бу+PN;
да	да+PART;
минем	мин+PN+GEN(нЫң);
